Conversation.json#dialog
测试物品获得|Test Items Acquired
（......是否与SN4MING，SN5MING组队参与明年的全国比武大赛？）|(…Will you team up with SN4MING and SN5MING to participate in next year’s national martial arts competition?)
可以开始了。|It's time to start.
至此，本届切磋大会圆满结束，接下来WO将奉主公之命，为各位勇士进行封赏！|At this point, this competition has come to a successful conclusion. Next, WO will follow the orders of the lord to reward all the warriors!
SN5MING勇夺魁首，赏钱五千！另可从府中武技库任意挑选一本武技秘籍，兵器库中任挑一件趁手装备，望你日后凭此更进一层！|SN5MING wins the championship and receives a 5,000 RMB reward! You can also choose any martial arts manual from the martial arts library and any piece of equipment from the weapons library. We hope you will use these to reach new heights in the future!
SN4MING获次席，赏钱三千贯，可从武技库任选一本武技秘籍，继续打磨技艺，莫负潜力！|SN4MING won the second place and was rewarded with 3,000 coins. He can choose any martial arts manual from the martial arts library to continue to hone his skills and don’t let his potential go to waste!
AXING大人在切磋大会中亦有出色发挥，取得第三名！|AXING also performed well in the competition, taking third place!
AMING听令！|AMING obey orders!
AMING得第三名，赏钱一千、任选武技秘籍一本，往后勤加操练，可期更进一步！|AMING won the third place and was rewarded with 1,000 yuan and a martial arts secret book of his choice. With diligent practice in the future, he can expect to make further progress!
其余的各位大人请再接再厉！|The rest of you, please keep up the good work!
WO势力有诸位猛将，实乃幸事！尤其是SN5CH，从初赛到决赛，每一场都打得极为出色，有这般猛将在，何愁势力不兴！|WO is fortunate to have such strong players! Especially SN5CH, who played extremely well in every game from the preliminaries to the finals. With such strong players, there is no need to worry about the prosperity of the team!
WO有意让SN5CH、SN4CH、PCH三位，一同代表WO势力参加明年的全国比武大会，三位有何想法？|WO intends to have SN5CH, SN4CH and PCH represent WO forces in the national martial arts competition next year. What do you three think?
末将愿意！|I am willing to do so!
末将愿意！|I am willing to do so!
（......是否与SN4MING，SN5MING组队参与明年的全国比武大赛？）|(…Will you team up with SN4MING and SN5MING to participate in next year’s national martial arts competition?)
可以开始了。|It's time to start.
至此，本届切磋大会圆满结束，接下来WO将奉主公之命，为各位勇士进行封赏！|At this point, this competition has come to a successful conclusion. Next, WO will follow the orders of the lord to reward all the warriors!
SN5MING勇夺魁首，赏钱五千！另可从府中武技库任意挑选一本武技秘籍，兵器库中任挑一件趁手装备，望你日后凭此更进一层！|SN5MING wins the championship and receives a 5,000 RMB reward! You can also choose any martial arts manual from the martial arts library and any piece of equipment from the weapons library. We hope you will use these to reach new heights in the future!
SN4MING获次席，赏钱三千贯，可从武技库任选一本武技秘籍，继续打磨技艺，莫负潜力！|SN4MING won the second place and was rewarded with 3,000 coins. He can choose any martial arts manual from the martial arts library to continue to hone his skills and don’t let his potential go to waste!
SN3XING大人在切磋大会中亦有出色发挥，取得第三名！|SN3XING also performed well in the competition and won third place!
SN3MING得第三名，赏钱一千、任选武技秘籍一本，往后勤加操练，可期更进一步！|SN3MING won the third place and was rewarded with 1,000 yuan and a martial arts secret book of his choice. With diligent practice in the future, he is expected to make further progress!
其余的各位大人请再接再厉！|The rest of you, please keep up the good work!
WO势力有诸位猛将，实乃幸事！尤其是SN5CH，从初赛到决赛，每一场都打得极为出色，有这般猛将在，何愁势力不兴！|WO is fortunate to have such strong players! Especially SN5CH, who played extremely well in every game from the preliminaries to the finals. With such strong players, there is no need to worry about the prosperity of the team!
WO有意让SN5CH、SN4CH、SN3CH三位，一同代表WO势力参加明年的全国比武大会，三位有何想法？|WO intends to have SN5CH, SN4CH, and SN3CH represent WO forces in next year's national martial arts competition. What do you three think?
末将愿意！|I am willing to do so!
末将愿意！|I am willing to do so!
末将愿意！|I am willing to do so!
末将愿意，定不辱使命！|I am willing to do my best to fulfill my mission!
好！有志气！望你等三人，在全国大赛前继续潜心磨砺技艺，届时在全国舞台上，要拿出我势力武将的最佳风采！|Excellent! You have ambition! I hope you and the other three will continue to diligently hone your skills before the National Competition. Then, on the national stage, you must showcase the best of our forces!
末将愿意，定不辱使命！|I am willing to do my best to fulfill my mission!
好！有志气！望你等三人，在全国大赛前继续潜心磨砺技艺，届时在全国舞台上，要拿出我势力智将的最佳风采！|Excellent! You have great ambition! I hope you and the other three will continue to hone your skills before the national competition. Then, on the national stage, you must bring out the best of our powerful and intelligent forces!
主公抬爱，末将心中感激。|My lord, I am grateful for your kindness.
只是末将自觉武艺仍有精进空间，尤其面对天下各路高手的实战经验尚浅，若此时仓促参赛，恐难不负势力期望。|However, I feel that my martial arts still have room for improvement, especially since I have little practical experience facing masters from all over the world. If I rush into the competition at this time, I am afraid I will not be able to live up to the expectations of the forces.
故想再用些时日打磨技艺，此次便暂不前往，还望主公体谅！|Therefore, I would like to spend some more time honing my skills and will not go this time. I hope my lord can understand!
好一个知不足而奋进！CH有这份清醒认知，比急于求成更难得。|What a great example of knowing your shortcomings and striving forward! CH has such a clear understanding, which is more valuable than rushing for success.
既如此，WO便不做强求，NI且安心操练，待技艺更上层楼，日后有的是为势力争光的机会。WO等着看你愈发精进的那天！|Given this, WO will not force you. NI, just focus on your training. Once your skills reach a higher level, you will have ample opportunities to bring honor to your organization. WO awaits the day when you achieve even greater excellence!
谢CH。|Thanks CH.
主公抬爱，末将心中感激。|My lord, I am grateful for your kindness.
只是在下自觉论辩之术仍有精进空间，尤其在面对各路辩才时，临场应变与论据储备恐有不足，若此时仓促组队参赛，怕难达势力期望。|However, I feel that my debating skills still have room for improvement, especially when facing various orators. My on-the-spot response and reserve of arguments may be insufficient. If I hastily form a team to participate in the competition at this time, I am afraid it will be difficult to meet the expectations of the forces.
故想再用些时日研习辩论之法，此次便暂不组队，还望主公体谅！|Therefore, I would like to spend some more time studying the art of debate and will not form a team this time. I hope my lord will understand!
好一个知不足而奋进！CH有这份清醒认知，比急于求成更难得。|What a great example of knowing your shortcomings and striving forward! CH has such a clear understanding, which is more valuable than rushing for success.
既如此，WO便不做强求，NI且安心钻研辩术，待技艺更上层楼，日后有的是为势力在论辩场合争光的机会。WO等着看你愈发精进的那天！|Given this, WO will not force you. NI, just focus on studying the art of debate. Once your skills reach a higher level, you will have ample opportunities to bring honor to your faction in debate arenas. WO awaits your continued advancement!
谢CH。|Thanks CH.
AXING大人，不好了！SN1MING大人在PLACE1NAME起兵了——|Lord AXING, it's bad! Lord SN1MING has started an uprising at PLACE1NAME—
SN1CH缘何起兵?|Why did SN1CH start a rebellion?
起因是SN1MING的旧主SN2MING被曹操讨伐，SN1MING本想求SN6MING出兵援助，可被SN6MING拒绝。|The cause was that SN1MING's former master SN2MING was attacked by Cao Cao. SN1MING wanted to ask SN6MING to send troops for assistance, but was rejected by SN6MING.
最终SN2MING被杀，SN1MING认定SN6MING见死不救、背信弃义。遂举兵反抗。|Eventually, SN2MING was killed, and SN1MING believed that SN6MING had betrayed his loyalty by not rescuing him, so he raised an army in rebellion.
现在PLACE1NAME被SN6MING的军队围困着，处境十分危急！|Now PLACE1NAME is surrounded by SN6MING's army and is in a very critical situation!
PLACE1NAME的局面，怕是难了。|PLACE1NAME's situation is probably going to be difficult.
（......或许我可以去PLACE1NAME帮SN1MING一把？）|(…maybe I could go to PLACE1NAME and help SN1MING out?)
SN6MING和SN1MING之间，竟闹到这步田地……|Things have gotten to this point between SN6MING and SN1MING...
SN7MING，事到如今。PLACE1NAME已断粮数日，SN6MING的大军随时可能到，将士们连提刀的力气都快没了——|SN7MING, things have come to this. PLACE1NAME has been out of food for several days, and SN6MING's army may arrive at any time. The soldiers are almost out of strength to even lift their swords——
若再无粮草，别说为SN2MING将军报仇，PLACE1NAME满城人都得死。|If there is no more food, not only will we not be able to avenge General SN2MING, but everyone in the city of PLACE1NAME will die.
将军！妾身知道城危，可……可怎能用妾身充粮啊！妾身还想陪着大人，看大人守住PLACE1NAME，看大人为张将军报仇……|General! I know the city is in danger, but...how can you use me as food?! I still want to accompany you, sir, to watch you defend PLACE1NAME, to watch you avenge General Zhang...
求大人再想想别的办法，哪怕让妾身去挖草根、剥树皮，妾身都愿意！|Please think of another way, sir. Even if you ask me to dig grass roots and peel tree bark, I am willing to do it!
挖草根？树皮？全城的草根树皮三天前就被挖光了！WO已派三拨人去周边村落征粮，也未曾讨得一粒粮食......|Digging up grass roots? Tree bark? All the grass roots and tree bark in the city were dug up three days ago! WO has sent three groups of people to the surrounding villages to collect food, but they haven't found a single grain...
WO臧洪这辈子，对得起所有人，唯独……对不起你。但WO是主将，不能看着手下士兵白白送死——这是唯一的办法。|WO Zang Hong has done his best for everyone in his life, except... you. But WO is the commander, and he can't watch his soldiers die in vain—this is the only way.
CH，方才WO在帐外便听见哭声，青禾姑娘为何跪在地上？|CH, WO just heard crying outside the tent. Why was Miss Qinghe kneeling on the ground?
CH来得正好，这事也瞒不住。PLACE1NAME粮尽，将士们几日没有进食，WO……|CH arrived just in time; this matter couldn't be concealed. PLACE1NAME ran out of food, and the soldiers hadn't eaten for several days. WO...
WO已决定，让青禾......充作军粮，换将士们一时战力。|WO has decided to use Qinghe... as military rations in exchange for the soldiers' temporary combat effectiveness.
AXING大人！您来得正好！求您发发善心，劝劝SN1XING大人吧！妾身不想死，妾身真的不想死啊！|Master AXING! You've arrived just in time! Please, be kind and persuade Master SN1XING! I don't want to die. I really don't want to die!
SN1XING大人他只是眼下的急情逼糊涂了，您一定能劝醒他的，对不对？您一定有办法的！|"Sir SN1XING, he's just confused by the current urgency. You can definitely talk him out of it, right? You definitely have a way!"
......（是否劝SN1MING不要杀掉SN7MING？）|...(Should we persuade SN1MING not to kill SN7MING?)
NI先冷静！此事尚有转圜余地，不必急于行事。|NI, calm down! There's still room for improvement. There's no need to rush.
……唉，可这守城缺粮，实在是迫在眉睫啊。|...Alas, the shortage of food for the defenders of the city is really urgent.
SN1CH，你我相识非一日，WO知NI为守城心急如焚，可杀妾充粮绝非良策！|SN1CH, you and I have known each other for a long time. WO knows that NI is extremely anxious to defend the city, but killing my concubine to get food is definitely not a good idea!
CH不必多言！WO已想清楚，即便能换将士半日战力，守住PLACE1NAME，这骂名我一人担了！|CH, no need to say more! WO has thought it through. Even if it means buying half a day's worth of soldiers to defend PLACE1NAME, I will bear the blame alone!
CH担的岂止是骂名？NI向来以义字当头，为了报SN2MING将军的知遇之恩，NI敢与SN6MING反目，哪怕拼上自己的性命也毫不退缩——|CH is more than just a bad reputation. NI has always put loyalty first. In order to repay the kindness of General SN2MING, NI dared to turn against SN6MING, even if it meant risking his own life.
可如今，CH却要为这份义，牺牲身边最亲近之人！天下人若知晓，只会说SN1MING的义，是踩着身边人的尸骨堆起来的。|But now, CH is willing to sacrifice the people closest to him for this righteousness! If the world knew, they would only say that SN1MING's righteousness was built by stepping on the bones of those around him.
那时，谁还会认NI的义师？SN6MING正好借此事抹黑你，届时将士心寒、百姓恐慌，人人担心自己是下一个被拉去充粮之人。|Who would still recognize NI's righteous army then? SN6MING is using this incident to discredit you, which will chill the hearts of the soldiers and panic the people, as everyone fears they will be the next to be dragged into the fray.
外有敌军压境，内恐生变，这城还守得住吗？|There are enemy troops pressing in from outside and there may be changes inside. Can this city be defended?
......WO……WO只是想守住城，为SN2MING大人报仇……难道……难道我错了？|......WO...WO just wants to defend the city and avenge Lord SN2MING... Could it be... Could it be that I am wrong?
可粮尽已是事实，除了此法，还有何路可走？|But the fact is that the food is gone. Apart from this method, what other way is there?
WO出发前就听说沿途战乱缺粮，特地带了些野菜干，还有一些，再加上少许备用的糙米——|Before WO set out, he had heard that there was a shortage of food due to war along the way, so he brought some dried wild vegetables, some, and a little spare brown rice.
若是煮成稀菜汤，虽然不能让将士们吃饱，但也能垫垫肚子，给点希望。|If it is cooked into a thin vegetable soup, although it cannot fill the soldiers' stomachs, it can fill their stomachs and give them some hope.
大人！您看！有野菜大家就能撑到明天的！妾身也能去帮忙烧火，把野菜洗得干干净净，让将士们喝上热汤！|My Lord! Look! With wild vegetables, we can all survive until tomorrow! I can also help light the fire, wash the wild vegetables, and make hot soup for the soldiers!
困难总能熬过去的！您就别再想着之前的事了，好不好？|Difficulties can always be overcome! Please stop thinking about the past, okay?
SN1CH，乱世之中，主将的取舍从来由不得旁人置喙。|SN1CH, in troubled times, the choices made by the commander-in-chief are never subject to the intervention of others.
PLACE1NAME的生死压在NI肩上，NI的决定，WO不便干涉。|PLACE1NAME's life and death rests on NI's shoulders. WO has no right to interfere with NI's decision.
大人！您怎么能不劝啊！您不是与将军相交甚厚吗？您明明能救妾身的！难道妾身的命，在守城面前就一文不值吗？|My Lord! How could you not persuade me? Aren't you close friends with the General? You could have saved me! Is my life worthless in the face of defending the city?
SN7MING，别怨WO……PCH说得对，WO是主将，要对满城将士负责。|SN7MING, don't blame WO... PCH is right, WO is the commander-in-chief and is responsible for all the soldiers in the city.
若因WO心软导致城破，SN7MING你，我，还有所有将士，都得死在SN6MING刀下。|If the city is breached due to WO's soft-heartedness, SN7MING you, me, and all the soldiers will die at the hands of SN6MING.
负责？将军的负责，就是要牺牲WO吗？WO跟着将军多年，从未有过半句怨言，如今却要成将士们的口粮……|Responsible? Does the General's responsibility mean sacrificing WO? WO has been with the General for years, never complaining, and now he has to become the soldiers' food...
CH一个人带再多食物，又够几个人分？|No matter how much food CH brings, how many people can it be shared among?
可CH杀了SN7MING，她的血肉又够几个人吃？|But CH killed SN7MING, how many people can eat her flesh and blood?
即便CH杀了她，再加上WO带来的吃的，又够几个人分的？|Even if CH kills her, plus the food WO brings, how many people will it be enough to share?
WO带的那些食物即是渺小的希望，如果CH再选择用身边人的血去泼洒它，不会让它烧的更旺，只会浇灭它——|The food WO brought was a tiny glimmer of hope. If CH chose to spill the blood of those around him, it wouldn't make the fire burn brighter, it would only extinguish it.
然后寒了最信任CH的人的心。|Then it chilled the hearts of those who trusted CH the most.
CH所言极是！是WO被这乱世的绝望蒙了眼！|CH is absolutely right! It is WO who has been blinded by the despair of this chaotic world!
SN7MING，是WO糊涂了，让你受委屈了。|SN7MING, it was WO who was confused and made you suffer.
快起来吧。|Get up quickly.
多谢CH仗义执言，救妾身于危难——|Thank you CH for speaking up and saving me from danger——
谢将军回心转意，留妾身一条性命——这份恩情，妾身永世不忘！|Thank you, General, for changing your mind and sparing my life - I will never forget this kindness!
能留在将军身边，与将士们共守PLACE1NAME，便是妾身最大的福气。|Being able to stay by the general's side and guard PLACE1NAME with the soldiers is my greatest blessing.
妾身这就去给将士们煮菜汤。|I will go and cook soup for the soldiers.
CH能明悟，乃PLACE1NAME之幸，将士之幸啊！|It is a blessing for PLACE1NAME and the soldiers that CH can understand it!
CH之言，WO懂，可WO要对满城将士的性命负责！若城破，一切都是空谈！|WO understands what CH said, but WO is responsible for the lives of the soldiers in the city! If the city is captured, everything will be in vain!
将军既是为了PLACE1NAME，妾身便不怪将军……|Since the general did this for PLACE1NAME, I don't blame him...
只盼将军日后守住此城，莫要忘了今日......|I only hope that the general will defend this city in the future and not forget today...
莫要忘了SN7MING......|Don't forget SN7MING...
SN1CH今日的选择，日后莫要后悔……|SN1CH, don’t regret your choice today…
……这就是......|...This is...
WO的命吗？|WO's life?
青禾，WO会给你留体面，你……你自己了断后，WO会让人妥善收殓你的尸骨，绝不会让你落得连残骸都留不下的地步。|Qinghe, WO will treat you with dignity. After you...end your life, WO will have your remains properly collected and will never let you end up with not even a remains left.
留尸骨……也好。至少到了地下，还有块地方能容身，|Leaving the body behind... is fine. At least there is a place for the body to stay underground.
妾身最后求将军一件事——若真能守住PLACE1NAME，别忘了给将士们多找些正经粮食......|I have one last request, General—if you can truly hold PLACE1NAME, please don't forget to find more proper food for your soldiers...
别再让他们像妾身这样......成了别人口中的取舍......|Don't let them be like me... become the choice that others talk about...
来世，妾身再也不想生在这乱世了......|In my next life, I no longer want to be born in this chaotic world...
只想做个寻常人家的女儿，安安稳稳过一辈子。|I just want to be the daughter of an ordinary family and live a peaceful and stable life.
青禾……是我对不住你……若不是我无能，守不住城池，缺粮至此，何至于让你走到这一步……|Qinghe...I've let you down...If I weren't so incompetent, unable to defend the city, and so short of food, I wouldn't have let you get to this point...
你们上来吧......|Come on up...
把青禾抬出去吧......|Let's carry Qinghe out...
回头把她的遗骸仔细收好，务必留存好她的尸骨，莫要有所缺失......|Go back and carefully collect her remains, and make sure to preserve her bones properly, without missing anything...
你们去寻一处清净、向阳的地方，给她办一场厚葬，立块木牌，让她走后能有个安稳的归宿，万万不可委屈了她……|Go find a quiet, sunny place, give her a proper burial, and erect a wooden memorial tablet so she can have a peaceful resting place after her passing. Do not let her suffer any injustice...
将军！不好了！SN6MING大军……SN6MING大军已经出发了！斥候探得，敌军几倍于我，按行军速度算，大约三个时辰后就会抵达城下！|General! This is bad! The SN6MING army... the SN6MING army has already set out! Scouts have discovered that the enemy outnumbers us several times. At their marching speed, they'll be at the gates of the city in about three hours!
数万兵力？可探清敌军是否带了攻城器械？|Tens of thousands of troops? Can we find out if the enemy has siege equipment?
回将军！敌军行军极快，小的不敢靠得太近，暂时没看清是否带了攻城器械，也不知先锋将领是谁！|"General! The enemy is marching very fast. I dare not get too close. I can't see clearly whether they have brought siege equipment, nor do I know who the vanguard general is!"
只知道大军来势汹汹，烟尘漫天，咱们……咱们恐怕来不及向周边求援了！|All we know is that the army is coming with great force and smoke and dust are everywhere. We... we may not have enough time to ask for help from the surrounding areas!
不管有无攻城器械，数万兵力已是大患！PLACE1NAME能否守住，全看此役了。|Siege engines or not, tens of thousands of troops are a formidable threat! PLACE1NAME's ability to hold on depends entirely on this battle.
传我将令！全军即刻整备，物资尽数清点妥当！准备完毕后，各队在城墙下集合，听候调遣迎敌！|Pass on my command! All troops, prepare immediately, and take inventory of all supplies! Once ready, all teams will assemble at the foot of the city walls, awaiting deployment to meet the enemy!
无论敌军来势如何，咱们都要拿出死战的架势，绝不让SN6MING踏破PLACE1NAME！|No matter how powerful the enemy is, we must fight to the death and never let SN6MING break through PLACE1NAME!
CH，眼下正是用人之际，WO愿尽一份力！请将军分拨一队人马给WO，WO可带领这队人马驻守城墙侧翼，与主力形成呼应，也好分担守城压力！|CH, we need men right now, and I'm willing to do my part! General, please assign a team to me. I can lead this team to garrison the flanks of the city wall, supporting the main force and helping to share the pressure of defending the city!
CH既有此担当，WO臧洪感激不尽！|WO Zang Hong is very grateful to CH for taking on this responsibility!
早闻长安之乱时，CH凭一己之力将吕布其击退——那吕奉先何等骁勇，天下诸侯闻之皆惧，公却能正面胜之，此等悍勇，堪称当世无双！|When hearing about the rebellion in Chang'an, CH single-handedly repelled Lu Bu - how brave was Lu Fengxian, all the princes in the world were afraid of him, but you were able to defeat him head-on. Such bravery is unparalleled in the world!
如今PLACE1NAME危难，CH主动请缨守侧翼，何止解WO后顾之忧？|Now that PLACE1NAME is in danger, CH has volunteered to guard the flank, which not only relieves WO's worries?
将士们若知单败吕布的猛士带领他们冲锋，底气也会更足三分！PLACE1NAME幸甚，WO臧洪能得CH相助，更是幸甚！|The soldiers would be even more confident if they knew the warrior who defeated Lü Bu alone was leading their charge! PLACE1NAME is fortunate, and WO Zang Hong is even more fortunate to have CH's help!
早闻长安之乱时，CH领兵对阵吕布，将那不可一世的吕奉先击退——多少诸侯折戟其手，CH却能胜之，何等的悍勇！|When hearing about the rebellion in Chang'an, CH led his troops to fight against Lu Bu and defeated the arrogant Lu Fengxian - so many princes were defeated by him, but CH was able to defeat him, what a brave man!
如今PLACE1NAME危难，CH主动请缨守侧翼，何止解WO后顾之忧？|Now that PLACE1NAME is in danger, CH has volunteered to guard the flank, which not only relieves WO's worries?
将士们若知击败吕布的猛士带领他们冲锋，底气也会更足两分！PLACE1NAME幸甚，WO臧洪能得CH相助，更是幸甚！|The soldiers would be even more confident if they knew the warrior who defeated Lü Bu was leading their charge! PLACE1NAME is fortunate, and WO Zang Hong is even more fortunate to have CH's help!
WO早闻CH善战之名，CH此等人才，正是PLACE1NAME此刻最需！|WO has long heard of CH's reputation for fighting prowess. A talent like CH is exactly what PLACE1NAME needs right now!
CH过誉了！不过是些许战场经验，不值一提。眼下最重要的是守住PLACE1NAME。咱们各司其职，共抗SN6MING！|CH, you're overly kind! It's just a bit of battlefield experience, not worth mentioning. Right now, the most important thing is to defend PLACE1NAME. Let's each do our part and fight SN6MING together!
SN1MING！WO念你曾在我帐下效力，今日特来劝你——|SN1MING! WO remembers that you once served under me, so I come to advise you today——
PLACE1NAME如今粮尽援绝，已成孤城，你若开城投降，WO可免你死罪，还能让你继续统领旧部......|PLACE1NAME is now out of food and aid, and has become an isolated city. If you surrender, WO will spare your life and allow you to continue to lead your former troops...
若执意顽抗，城破之日，不仅你性命难保，城中军民也将遭池鱼之殃，何必执迷不悟？|If you insist on resisting, when the city is broken, not only will your life be in danger, but the soldiers and civilians in the city will also suffer. Why should you be so stubborn?
主公所言极是！SN1MING，今日我大军压境，劝你速速开城投降，尚可保一城军民性命；若敢抵抗，城破之日，鸡犬不留！|My lord, you are absolutely right! SN1MING, today our army is approaching. I urge you to quickly surrender your city walls. This will save the lives of the soldiers and civilians. If you dare to resist, when the city is broken, no one will be left alive!
CH何必多言！这PLACE1NAME不过弹丸之地，SN1MING手下不过残兵弱卒，不出一个时辰便能踏破城墙！|CH: Why bother saying more! PLACE1NAME is just a tiny place, and SN1MING's men are just weak soldiers. They can break through the city walls in less than an hour!
SN1MING，识相的就早点束手就擒，免得受那刀兵之苦！|SN1MING, if you are smart, surrender as soon as possible to avoid suffering the pain of war!
SN6MING！你袁家四世五公，受汉室多少厚恩！可如今王室衰微，你不思社稷匡扶之事，反倒趁乱生非分之想，屠戮忠良以立自身淫威！|SN6MING! Your Yuan family has been a family of five dukes for four generations, and you have received so much grace from the Han Dynasty! But now that the royal family is in decline, instead of thinking about supporting the country, you are taking advantage of the chaos to pursue your own unreasonable desires, slaughtering loyal and honest people to establish your own tyranny!
当初张邈与你称兄，SN2MING乃是张邈之弟，也是我府君！他身陷危难之际，你手握雄兵，却作壁上观，任由他被曹操所害！|Back then, Zhang Miao and you were brothers. SN2MING is Zhang Miao's younger brother, and also my lord! When he was in danger, you commanded a powerful army, but stood by and watched, allowing him to be murdered by Cao Cao!
我SN1MING今日守这PLACE1NAME，不为自己，只为报府君之恩，只为讨你这不忠不义之罪！|I, SN1MING, am guarding this PLACE1NAME today, not for myself, but only to repay the Lord's kindness and to avenge your crime of disloyalty and injustice!
我麾下将士虽少，却个个愿为忠义而死！想破城，除非踏过我和将士们的尸骨！|Although I have only a few soldiers under my command, every one of them is willing to die for loyalty and righteousness! If you want to capture the city, you must step over the corpses of me and my soldiers!
哪怕城破身死，我也绝不会向你这背恩忘义之徒低头！|Even if the city is destroyed and I die, I will never bow to you, a treacherous man!
竖子不足与谋！既然如此，攻城！|This boy is not worth discussing with! In that case, attack the city!
AXING大人，不好了！|Lord AXING, something bad has happened!
臧洪将军……臧洪将军他……在PLACE1NAME城破之时，力战不降，最终……最终战死了！|General Zang Hong... General Zang Hong... when PLACE1NAME City was captured, he fought hard and refused to surrender, but in the end... in the end he died in battle!
袁绍大军攻势太猛，臧将军虽奋勇抵抗，可孤城无援，粮草也尽了…… |Yuan Shao's army was too powerful, and although General Zang fought bravely, his city was isolated and without support, and his food and supplies were all gone...
来者何人？此乃SN1XING将军大营，闲杂人等不得入内！|Who are you? This is General SN1XING's main camp. No outsiders are allowed in!
看你面生，怕是不能放你进去。|You look unfamiliar, so I'm afraid I can't let you in.
WO与SN1XING将军有旧，特来拜访。劳烦通报，就说AZI听闻PLACE1NAME有难，特来驰援SN1XING将军。|WO has a history with General SN1XING, so I'm here to visit. Please let me know that AZI heard PLACE1NAME is in trouble and is here to help General SN1XING.
原来是AXING大人，将军常提及您，请进！|It's Lord AXING. The general often mentions you. Please come in!
（或许和SN1MING关系更好的话就能进去了。）|(Maybe if I had a better relationship with SN1MING, I could get in.)
SN6CH，WO前来助阵！|SN6CH, WO come to help!
不好！他们还有支援！|Oh no! They have support!
SN1CH，虽然我们尚有余力，但如今敌众我寡，再打下去，存活的弟兄们只会白白送命。|SN1CH, although we still have some strength left, we are outnumbered. If we continue fighting, the surviving brothers will die in vain.
应当趁着他们的援军还没有把我们包围之时，快速突围！否则只会全军覆灭！|We should break out quickly before their reinforcements surround us! Otherwise, our entire army will be annihilated!
可PLACE1NAME！这是WO死守的城！就这么撤了，对得起战死的弟兄吗！|But PLACE1NAME! This is the city WO defended with all their might! Retreating like this, how can we be worthy of our fallen brothers?
现在带着活着的人撤走，才是对的起他们！留得青山在，日后才有机会夺回城池、为弟兄们报仇！|Taking the survivors away now would be the only way to do them justice! Only by keeping the green mountains alive would we have a chance to retake the city and avenge our brothers in the future!
好……撤吧......|Okay... let's retreat...
总算甩开了追兵......|Finally got rid of the pursuers...
赢了……明明打赢了那一战，却落得这般境地！要不是他们人多！......|They won... They clearly won that battle, but ended up in this situation! If they hadn't outnumbered them! ...
我的弟兄们……全没了！PLACE1NAME守不住，亡主的仇报不了，WO臧洪空有一身抱负，到头来竟连容身之地都没有！|My brothers... are all gone! PLACE1NAME couldn't defend it, and the vengeance of his fallen master remains unresolved. WO Zang Hong, with all his ambitions, ends up with no place to stay!
SN1CH，此战能以少胜多击退SN6MING先锋，已是十分不易。继续死守抵抗SN6MING的援军只会全军覆没，撤离是唯一的生路。|SN1CH, it was already quite difficult to defeat SN6MING's vanguard with a smaller force. Continuing to hold out against SN6MING's reinforcements would only lead to annihilation. Evacuation was the only way to survive.
生路？可WO能去哪？SN6MING视WO为眼中钉，曹操与我旧主有怨，天下之大，竟无我SN1MING立足之处……|A way out? But where could WO go? SN6MING sees WO as a thorn in their side. Cao Cao and my former master have a grudge. In such a vast world, there's no place for SN1MING...
走投无路，莫过于此。|There is no worse place than this.
......（SN1MING无路可走，或许可以让他加入我麾下？）|...(SN1MING has nowhere else to go, maybe I can get him to join me?)
将军不必如此消沉。NI一身忠义，为旧主赴汤蹈火；领兵作战更是章法严明，以寡敌众还能击退SN6MING先锋，这般将才，放眼天下也屈指可数！|General, there's no need to be so depressed. NI is a man of unwavering loyalty, willing to risk his life for his former master. He leads his troops in battle with meticulous discipline, even outnumbered and able to repel SN6MING's vanguard. There are only a handful of such generals in the world!
WO素来求贤若渴，麾下仍有立足之地，也缺像CH这般能独当一面的良才。今日真心邀CH纳入WO帐下！|WO is always eager to recruit talented individuals. We still have room for growth, but we're also in need of someone like CH who can lead the team independently. We sincerely invite CH to join us!
CH……CH竟对WO如此看重？WO如今已是败军之将，不过是光杆将军一个，何德何能，值得CH这般相待？|CH... CH actually thinks so highly of WO? WO is now a defeated general, a mere general without any troops. What merits or abilities does CH have to treat him this way?
CH此言差矣！败军非因你无能，实是敌我实力悬殊，换作他人，早已弃城而逃。|CH: That's wrong! The defeat wasn't due to your incompetence, but rather the disparity in strength between us and the enemy. Anyone else would have abandoned the city and fled long ago.
WO看重的，不是麾下兵力，而是CH这颗忠义之心，以及那份临危不乱的领兵之才！只要有CH在，何愁日后无兵无将？|What WO values is not the strength of his troops, but CH's loyalty and his ability to lead the troops calmly in times of crisis! As long as CH is there, why worry about being without soldiers and generals in the future?
CH既有如此识人之明与容人之量，我SN1MING若再扭捏，便是辜负这份看重！|Since CH has such a keen eye for talent and tolerance for others, if I, SN1MING, continue to be hesitant, I will be letting him down!
从今往后，我SN1MING愿归入CH的帐下，肝脑涂地，在所不辞！|From now on, I, SN1MING, am willing to serve under CH, even if it means sacrificing my life for him!
无论是统筹军需、排布防务，还是出谋划策、安抚部众，WO定当尽我所能，为CH立下寸功！|Whether it is coordinating military supplies, arranging defenses, or making suggestions and appeasing the troops, WO will do my best to make every contribution to CH!
CH能屈身相助，实乃WO之幸事！有NI在，如得一臂助，何惧前路风雨？|WO is truly fortunate that CH has come to our aid! With NI here, it's like having a helping hand. Why fear the storms ahead?
CH过奖了。不过WO还有一事相求......|Thank you, CH. But WO has one more favor to ask...
哦？但说无妨。|Oh? It's okay to say it.
